Ålandinseln, Mariehamn
Albanien, Tirana
Andorra, Andorra la Vella
Belarus, Minsk
Belgien, Brüssel
Bosnien und Herzegowina, Sarajevo
Bulgarien, Sofia
Dänemark, Kopenhagen
Deutschland, Berlin
Estland, Tallinn
Färöer-Inseln, Thorshaven
Finnland, Helsinki
Frankreich, Paris
Gibraltar, Gibraltar
Griechenland, Athen
Guernsey, Saint Peter Port
Insel Man, Douglas
Irland, Dublin
Island, Reykjavík
Italien, Rom
Jersey, Saint Helier
Kosovo, Pristina
Kroatien, Zagreb
Lettland, Riga
Liechtenstein, Vaduz
Litauen, Vilnius
Luxemburg, Luxemburg
Malta, Valletta
Moldawien, Chisinau
Monaco, Monaco
Montenegro, Podgorica
Niederlande, Amsterdam
Nordmazedonien, Skopje
Norwegen, Oslo
Österreich, Wien
Polen, Warschau
Portugal, Lissabon
Rumänien, Bukarest
Russland, Moskau
San Marino, San Marino
Schweden, Stockholm
Schweiz, Bern
Serbien, Belgrad
Slowakei, Bratislava
Slowenien, Ljubljana
Spanien, Madrid
Svalbard und Jan Mayen, Longyearbyen
Tschechien, Prag
Ukraine, Kiew
Ungarn, Budapest
Vereinigtes Königreich, London
